"#","Team","Pl","W","D","L","F","A","GD","Pts","Last 6"
"1","Liverpool","18","15","3","0","39","7","32","48","1"
"2","Manchester City","18","14","2","2","50","13","37","44","3"
"3","Tottenham Hotspur","18","14","0","4","37","18","19","42","3"
"4","Chelsea","18","11","4","3","35","15","20","37","4"
"5","Arsenal","18","11","4","3","40","24","16","37","5"
"6","Manchester United","18","8","5","5","34","30","4","29","6"
"7","Watford","18","8","3","7","25","25","0","27","7"
"8","Bournemouth","18","8","2","8","27","28","-1","27","8"
"9","Leicester City","18","7","4","7","22","21","1","25","9"
"10","Wolves","18","7","4","7","19","21","-2","25","10"
"11","Everton","18","6","6","6","26","28","-2","24","11"
"12","West Ham United","18","7","3","8","25","27","-2","24","12"
"13","Brighton","18","6","3","9","20","26","-6","21","13"
"14","Crystal Palace","18","5","3","10","17","25","-8","18","14"
"15","Newcastle United","18","4","5","9","14","22","-8","17","15"
"16","Southampton","18","3","6","9","19","33","-14","15","16"
"17","Cardiff City","18","4","2","12","18","38","-20","14","17"
"18","Burnley","18","3","3","12","16","36","-20","12","18"
"19","Huddersfield Town","18","2","4","12","11","31","-20","10","19"
"20","Fulham","18","2","4","12","16","42","-26","10","20"